Id	CanteenDownloadRequestId	MachineId	SelectionName	ProductId	Need	ExtraSystem	Extra	
=10389	=160	=1139780	=E6	=1148	=0	=0	[NULL]	
=10390	=160	=1139780	=E7	=730	=0	=0	[NULL]	
=10391	=160	=1139780	=E8	=730	=0	=0	[NULL]	
=10392	=160	=1139780	=E9	=730	=0	=0	[NULL]	
=10393	=160	=1139782	=1	=105	=0	=0	[NULL]	
=10394	=160	=1139782	=2	=110	=0	=0	[NULL]	
=10395	=160	=1139782	=3	=110	=0	=0	[NULL]	
=10396	=160	=1139782	=4	=611	=0	=0	[NULL]	
=10397	=160	=1139782	=5	=108	=0	=0	[NULL]	
=10398	=160	=1139782	=6	=111	=0	=0	[NULL]	
=10399	=160	=1139782	=7	=140	=0	=0	[NULL]	
=10400	=160	=1139782	=8	=255	=0	=0	[NULL]	
=10401	=160	=1139784	=1	=133	=0	=0	[NULL]	
=10402	=160	=1139784	=10	=652	=0	=0	[NULL]	
=10403	=160	=1139784	=11	=652	=0	=0	[NULL]	
=10404	=160	=1139784	=12	=652	=0	=0	[NULL]	
=10405	=160	=1139784	=2	=133	=0	=0	[NULL]	
=10406	=160	=1139784	=3	=133	=0	=0	[NULL]	
=10407	=160	=1139784	=4	=129	=0	=0	[NULL]	
=10408	=160	=1139784	=5	=129	=0	=0	[NULL]	
=10409	=160	=1139784	=6	=129	=0	=0	[NULL]	
=10410	=160	=1139784	=7	=129	=0	=0	[NULL]	
=10411	=160	=1139784	=8	=129	=0	=0	[NULL]	
=10412	=160	=1139784	=9	=115	=0	=0	[NULL]	
=10413	=160	=1139786	=1	=105	=0	=0	[NULL]	
=10414	=160	=1139786	=2	=108	=0	=0	[NULL]	
=10415	=160	=1139786	=3	=108	=0	=0	[NULL]	
=10416	=160	=1139786	=4	=611	=0	=0	[NULL]	
=10417	=160	=1139786	=5	=140	=0	=0	[NULL]	
=10418	=160	=1139786	=6	=111	=0	=0	[NULL]	
=10419	=160	=1139786	=7	=111	=0	=0	[NULL]	
=10420	=160	=1139786	=8	=255	=0	=0	[NULL]	
=10421	=160	=1139787	=1	=133	=0	=0	[NULL]	
=10422	=160	=1139787	=10	=252	=0	=0	[NULL]	
=10423	=160	=1139787	=11	=252	=0	=0	[NULL]	
=10424	=160	=1139787	=12	=252	=0	=0	[NULL]	
=10425	=160	=1139787	=2	=133	=0	=0	[NULL]	
=10426	=160	=1139787	=3	=115	=0	=0	[NULL]	
=10427	=160	=1139787	=4	=129	=0	=0	[NULL]	
=10428	=160	=1139787	=5	=129	=0	=0	[NULL]	
=10429	=160	=1139787	=6	=129	=0	=0	[NULL]	
=10430	=160	=1139787	=7	=652	=0	=0	[NULL]	
=10431	=160	=1139787	=8	=652	=0	=0	[NULL]	
=10432	=160	=1139787	=9	=113	=0	=0	[NULL]	
=10433	=160	=1139989	=110	=384	=2	=0	[NULL]	
=10434	=160	=1139989	=114	=3410	=4	=0	[NULL]	
=10435	=160	=1139989	=116	=356	=2	=0	[NULL]	
=10436	=160	=1139989	=118	=6488	=5	=0	[NULL]	
=10437	=160	=1139989	=120	=5569	=0	=0	[NULL]	
=10438	=160	=1139989	=122	=366	=0	=0	[NULL]	
=10439	=160	=1139989	=124	=948	=0	=0	[NULL]	
=10440	=160	=1139989	=126	=906	=0	=0	[NULL]	
=10441	=160	=1139989	=128	=878	=0	=0	[NULL]	
=10442	=160	=1139989	=130	=4800	=0	=0	[NULL]	
=10443	=160	=1139989	=132	=1119	=0	=0	[NULL]	
=10444	=160	=1139989	=134	=6487	=0	=0	[NULL]	
=10445	=160	=1139989	=136	=356	=0	=0	[NULL]	
=10446	=160	=1139989	=138	=4789	=0	=0	[NULL]	
=10447	=160	=1139989	=140	=490	=0	=0	[NULL]	
=10448	=160	=1139989	=141	=215	=0	=0	[NULL]	
=10449	=160	=1139989	=142	=490	=0	=0	[NULL]	
=10450	=160	=1139989	=143	=490	=0	=0	[NULL]	
=10451	=160	=1139989	=144	=190	=0	=0	[NULL]	
=10452	=160	=1139989	=145	=804	=0	=0	[NULL]	
=10453	=160	=1139989	=146	=469	=0	=0	[NULL]	
=10454	=160	=1139989	=147	=231	=0	=0	[NULL]	
=10455	=160	=1139989	=148	=179	=0	=0	[NULL]	
=10456	=160	=1139989	=149	=3904	=0	=0	[NULL]	
=10457	=160	=1139989	=150	=1061	=0	=0	[NULL]	
=10458	=160	=1139989	=151	=469	=0	=0	[NULL]	
=10459	=160	=1139989	=152	=5155	=0	=0	[NULL]	
=10460	=160	=1139989	=153	=1633	=0	=0	[NULL]	
=10461	=160	=1139989	=154	=469	=0	=0	[NULL]	
=10462	=160	=1139989	=155	=190	=0	=0	[NULL]	
=10463	=160	=1139989	=156	=1633	=0	=0	[NULL]	
=10464	=160	=1139989	=157	=1061	=0	=0	[NULL]	
=10465	=160	=1139989	=158	=5119	=0	=0	[NULL]	
=10466	=160	=1139989	=159	=213	=0	=0	[NULL]	
=10467	=160	=1139989	=160	=563	=0	=0	[NULL]	
=10468	=160	=1139989	=162	=83	=0	=0	[NULL]	
=10469	=160	=1139989	=164	=812	=0	=0	[NULL]	
=10470	=160	=1139989	=166	=1237	=0	=0	[NULL]	
=10471	=160	=1139989	=168	=635	=0	=0	[NULL]	
=10472	=160	=1139993	=101	=383	=0	=0	[NULL]	
=10473	=160	=1139993	=103	=355	=0	=0	[NULL]	
=10474	=160	=1139993	=105	=367	=0	=0	[NULL]	
=10475	=160	=1139993	=107	=878	=0	=0	[NULL]	
=10476	=160	=1139993	=201	=366	=0	=0	[NULL]	
=10477	=160	=1139993	=203	=720	=0	=0	[NULL]	
=10478	=160	=1139993	=205	=948	=0	=0	[NULL]	
=10479	=160	=1139993	=207	=1027	=0	=0	[NULL]	
=10480	=160	=1139993	=301	=4800	=0	=0	[NULL]	
=10481	=160	=1139993	=303	=1119	=0	=0	[NULL]	
=10482	=160	=1139993	=305	=6487	=0	=0	[NULL]	
=10483	=160	=1139993	=307	=4789	=0	=0	[NULL]	
=10484	=160	=1139993	=401	=213	=0	=0	[NULL]	
=10485	=160	=1139993	=402	=490	=0	=0	[NULL]	
=10486	=160	=1139993	=403	=215	=0	=0	[NULL]	
=10487	=160	=1139993	=404	=235	=0	=0	[NULL]	
=10488	=160	=1139993	=405	=223	=0	=0	[NULL]	
=10489	=160	=1139993	=406	=190	=0	=0	[NULL]	
=10490	=160	=1139993	=407	=231	=0	=0	[NULL]	
=10491	=160	=1139993	=408	=876	=0	=0	[NULL]	
=10492	=160	=1139993	=501	=5147	=0	=0	[NULL]	
=10493	=160	=1139993	=502	=465	=0	=0	[NULL]	
=10494	=160	=1139993	=503	=5155	=0	=0	[NULL]	
=10495	=160	=1139993	=504	=1633	=0	=0	[NULL]	
=10496	=160	=1139993	=505	=469	=0	=0	[NULL]	
=10497	=160	=1139993	=506	=175	=0	=0	[NULL]	
=10498	=160	=1139993	=507	=467	=0	=0	[NULL]	
=10499	=160	=1139993	=508	=3904	=0	=0	[NULL]	
=10500	=160	=1139993	=601	=737	=0	=0	[NULL]	
=10501	=160	=1139993	=603	=812	=0	=0	[NULL]	
=10502	=160	=1139993	=605	=1237	=0	=0	[NULL]	
=10503	=160	=1139993	=607	=635	=0	=0	[NULL]	
=10504	=160	=1139993	=702	=488	=0	=0	[NULL]	
=10505	=160	=1139993	=707	=77	=0	=0	[NULL]	
=10506	=160	=1165279	=A1	=383	=0	=0	[NULL]	
=10507	=160	=1165279	=A3	=367	=0	=0	[NULL]	
=10508	=160	=1165279	=A5	=355	=0	=0	[NULL]	
=10509	=160	=1165279	=A7	=4789	=0	=0	[NULL]	
=10510	=160	=1165279	=B1	=5569	=0	=0	[NULL]	
=10511	=160	=1165279	=B3	=366	=0	=0	[NULL]	
=10512	=160	=1165279	=B5	=948	=0	=0	[NULL]	
=10513	=160	=1165279	=B7	=878	=0	=0	[NULL]	
=10514	=160	=1165279	=C1	=4800	=0	=0	[NULL]	
=10515	=160	=1165279	=C3	=1119	=0	=0	[NULL]	
=10516	=160	=1165279	=C5	=6487	=0	=0	[NULL]	
=10517	=160	=1165279	=C7	=1027	=0	=0	[NULL]	
=10518	=160	=1165279	=D1	=490	=0	=0	[NULL]	
=10519	=160	=1165279	=D2	=215	=0	=0	[NULL]	
=10520	=160	=1165279	=D3	=235	=0	=0	[NULL]	
=10521	=160	=1165279	=D4	=458	=0	=0	[NULL]	
=10522	=160	=1165279	=D5	=223	=0	=0	[NULL]	
=10523	=160	=1165279	=D6	=903	=0	=0	[NULL]	
=10524	=160	=1165279	=D7	=804	=0	=0	[NULL]	
=10525	=160	=1165279	=D8	=213	=0	=0	[NULL]	
=10526	=160	=1165279	=E1	=5147	=0	=0	[NULL]	
=10527	=160	=1165279	=E2	=465	=0	=0	[NULL]	
=10528	=160	=1165279	=E3	=5155	=0	=0	[NULL]	
=10529	=160	=1165279	=E4	=1633	=0	=0	[NULL]	
=10530	=160	=1165279	=E5	=217	=0	=0	[NULL]	
=10531	=160	=1165279	=E6	=190	=0	=0	[NULL]	
=10532	=160	=1165279	=E7	=467	=0	=0	[NULL]	
=10533	=160	=1165279	=E8	=876	=0	=0	[NULL]	
=10534	=160	=1165279	=F1	=737	=0	=0	[NULL]	
=10535	=160	=1165279	=F3	=83	=0	=0	[NULL]	
=10536	=160	=1165279	=F5	=1434	=0	=0	[NULL]	
=10537	=160	=1165279	=F7	=635	=0	=0	[NULL]	
=10538	=160	=1165279	=G1	=899	=0	=0	[NULL]	
=10539	=160	=1165279	=G2	=624	=0	=0	[NULL]	
=10540	=160	=1165279	=G3	=882	=0	=0	[NULL]	
=10541	=160	=1165279	=G4	=1166	=0	=0	[NULL]	
=10542	=160	=1165281	=A1	=383	=0	=0	[NULL]	
=10543	=160	=1165281	=A2	=355	=0	=0	[NULL]	
=10544	=160	=1165281	=A3	=367	=0	=0	[NULL]	
=10545	=160	=1165281	=A4	=878	=0	=0	[NULL]	
=10546	=160	=1165281	=B1	=5569	=0	=0	[NULL]	
=10547	=160	=1165281	=B2	=366	=0	=0	[NULL]	
=10548	=160	=1165281	=B3	=720	=0	=0	[NULL]	
=10549	=160	=1165281	=B4	=4789	=0	=0	[NULL]	
=10550	=160	=1165281	=C1	=4800	=0	=0	[NULL]	
=10551	=160	=1165281	=C2	=1119	=0	=0	[NULL]	
=10552	=160	=1165281	=C3	=948	=0	=0	[NULL]	
=10553	=160	=1165281	=C4	=1027	=0	=0	[NULL]	
=10554	=160	=1165281	=D1	=213	=0	=0	[NULL]	
=10555	=160	=1165281	=D2	=490	=0	=0	[NULL]	
=10556	=160	=1165281	=D3	=215	=0	=0	[NULL]	
=10557	=160	=1165281	=D4	=235	=0	=0	[NULL]	
=10558	=160	=1165281	=D5	=223	=0	=0	[NULL]	
=10559	=160	=1165281	=D6	=804	=0	=0	[NULL]	
=10560	=160	=1165281	=D7	=230	=0	=0	[NULL]	
=10561	=160	=1165281	=D8	=3904	=0	=0	[NULL]	
=10562	=160	=1165281	=E1	=5147	=0	=0	[NULL]	
=10563	=160	=1165281	=E2	=465	=0	=0	[NULL]	
=10564	=160	=1165281	=E3	=5155	=0	=0	[NULL]	
=10565	=160	=1165281	=E4	=1633	=0	=0	[NULL]	
=10566	=160	=1165281	=E5	=469	=0	=0	[NULL]	
=10567	=160	=1165281	=E6	=190	=0	=0	[NULL]	
=10568	=160	=1165281	=E7	=467	=0	=0	[NULL]	
=10569	=160	=1165281	=E8	=876	=0	=0	[NULL]	
=10570	=160	=1165281	=F1	=737	=0	=0	[NULL]	
=10571	=160	=1165281	=F2	=83	=0	=0	[NULL]	
=10572	=160	=1165281	=F3	=1434	=0	=0	[NULL]	
=10573	=160	=1165281	=F4	=635	=0	=0	[NULL]	
=10574	=160	=1165281	=G1	=899	=0	=0	[NULL]	
=10575	=160	=1165281	=G2	=937	=0	=0	[NULL]	
=10576	=160	=1165281	=G3	=882	=0	=0	[NULL]	
=10577	=160	=1165281	=G4	=1166	=0	=0	[NULL]	
=10578	=160	=1169651	=A0	=383	=0	=0	[NULL]	
=10579	=160	=1169651	=A4	=3410	=0	=0	[NULL]	
=10580	=160	=1169651	=A6	=720	=0	=0	[NULL]	
=10581	=160	=1169651	=A8	=720	=0	=0	[NULL]	
=10582	=160	=1169651	=B0	=5569	=0	=0	[NULL]	
=10583	=160	=1169651	=B2	=366	=0	=0	[NULL]	
=10584	=160	=1169651	=B4	=366	=0	=0	[NULL]	
=10585	=160	=1169651	=B6	=906	=0	=0	[NULL]	
=10586	=160	=1169651	=B8	=878	=0	=0	[NULL]	
=10587	=160	=1169651	=C0	=4800	=0	=0	[NULL]	
=10588	=160	=1169651	=C2	=1119	=0	=0	[NULL]	
=10589	=160	=1169651	=C4	=6487	=0	=0	[NULL]	
=10590	=160	=1169651	=C6	=356	=0	=0	[NULL]	
=10591	=160	=1169651	=C8	=4789	=0	=0	[NULL]	
=10592	=160	=1169651	=D0	=490	=0	=0	[NULL]	
=10593	=160	=1169651	=D1	=215	=0	=0	[NULL]	
=10594	=160	=1169651	=D2	=235	=0	=0	[NULL]	
=10595	=160	=1169651	=D3	=5477	=0	=0	[NULL]	
=10596	=160	=1169651	=D4	=217	=0	=0	[NULL]	
=10597	=160	=1169651	=D5	=223	=0	=0	[NULL]	
=10598	=160	=1169651	=D6	=190	=0	=0	[NULL]	
=10599	=160	=1169651	=D7	=804	=0	=0	[NULL]	
=10600	=160	=1169651	=D8	=231	=0	=0	[NULL]	
=10601	=160	=1169651	=D9	=3904	=0	=0	[NULL]	
=10602	=160	=1169651	=E0	=5147	=0	=0	[NULL]	
=10603	=160	=1169651	=E1	=465	=0	=0	[NULL]	
=10604	=160	=1169651	=E2	=5155	=0	=0	[NULL]	
=10605	=160	=1169651	=E3	=1633	=0	=0	[NULL]	
=10606	=160	=1169651	=E4	=175	=0	=0	[NULL]	
=10607	=160	=1169651	=E5	=469	=0	=0	[NULL]	
=10608	=160	=1169651	=E6	=545	=0	=0	[NULL]	
=10609	=160	=1169651	=E7	=467	=0	=0	[NULL]	
=10610	=160	=1169651	=E8	=903	=0	=0	[NULL]	
=10611	=160	=1169651	=E9	=213	=0	=0	[NULL]	
=10612	=160	=1169651	=F0	=737	=0	=0	[NULL]	
=10613	=160	=1169651	=F2	=83	=0	=0	[NULL]	
=10614	=160	=1169651	=F4	=812	=0	=0	[NULL]	
=10615	=160	=1169651	=F6	=1237	=0	=0	[NULL]	
=10616	=160	=1169651	=F8	=635	=0	=0	[NULL]	
=10617	=160	=1169651	=H0	=937	=0	=0	[NULL]	
=10618	=160	=1169651	=H1	=1166	=0	=0	[NULL]	
=10619	=160	=1169651	=H2	=882	=0	=0	[NULL]	
=10620	=160	=1169651	=H3	=624	=0	=0	[NULL]	
=10621	=160	=1169652	=1	=133	=0	=0	[NULL]	
=10622	=160	=1169652	=10	=113	=0	=0	[NULL]	
=10623	=160	=1169652	=11	=252	=0	=0	[NULL]	
=10624	=160	=1169652	=12	=252	=0	=0	[NULL]	
=10625	=160	=1169652	=2	=133	=0	=0	[NULL]	
=10626	=160	=1169652	=3	=115	=0	=0	[NULL]	
=10627	=160	=1169652	=4	=129	=0	=0	[NULL]	
=10628	=160	=1169652	=5	=129	=0	=0	[NULL]	
=10629	=160	=1169652	=6	=129	=0	=0	[NULL]	
=10630	=160	=1169652	=7	=594	=0	=0	[NULL]	
=10631	=160	=1169652	=8	=594	=0	=0	[NULL]	
=10632	=160	=1169652	=9	=113	=0	=0	[NULL]	
=10633	=160	=1169654	=1	=29	=0	=0	[NULL]	
=10634	=160	=1169654	=2	=29	=0	=0	[NULL]	
=10635	=160	=1169654	=3	=32	=0	=0	[NULL]	
=10636	=160	=1169654	=4	=21	=0	=0	[NULL]	
=10637	=160	=1169654	=5	=19	=0	=0	[NULL]	
=10638	=160	=1169654	=6	=13	=0	=0	[NULL]	
=10639	=160	=1169654	=7	=13	=0	=0	[NULL]	
=10640	=160	=1169654	=8	=16	=0	=0	[NULL]	
=10641	=160	=1169654	=9	=595	=0	=0	[NULL]	
=10642	=160	=1169655	=1	=105	=0	=0	[NULL]	
=10643	=160	=1169655	=2	=110	=0	=0	[NULL]	
=10644	=160	=1169655	=3	=730	=0	=0	[NULL]	
=10645	=160	=1169655	=4	=140	=0	=0	[NULL]	
=10646	=160	=1169655	=5	=108	=0	=0	[NULL]	
=10647	=160	=1169655	=6	=541	=0	=0	[NULL]	
=10648	=160	=1169655	=7	=108	=0	=0	[NULL]	
=10649	=160	=1169655	=8	=541	=0	=0	[NULL]	
=10650	=160	=1169657	=1	=105	=0	=0	[NULL]	
=10651	=160	=1169657	=2	=105	=0	=0	[NULL]	
=10652	=160	=1169657	=3	=110	=0	=0	[NULL]	
=10653	=160	=1169657	=4	=140	=0	=0	[NULL]	
=10654	=160	=1169657	=5	=730	=0	=0	[NULL]	
=10655	=160	=1169657	=6	=108	=0	=0	[NULL]	
=10656	=160	=1169657	=7	=730	=0	=0	[NULL]	
